Formatted Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
2006-04-01 00:00:00.000 +0200,Partly Cloudy,rain,9.472222222,7.388888889,0.89,14.1197,251,15.8263,0,1015.13,Partly cloudy throughout the day.
2006-04-01 01:00:00.000 +0200,Partly Cloudy,rain,9.355555556,7.227777778,0.86,14.2646,259,15.8263,0,1015.63,Partly cloudy throughout the day.
2006-04-01 02:00:00.000 +0200,Mostly Cloudy,rain,9.377777778,9.377777778,0.89,3.9284,204,14.9569,0,1015.94,Partly cloudy throughout the day.
2006-04-01 03:00:00.000 +0200,Partly Cloudy,rain,8.288888889,5.944444444,0.83,14.1036,269,15.8263,0,1016.41,Partly cloudy throughout the day.
2006-04-01 04:00:00.000 +0200,Mostly Cloudy,rain,8.755555556,6.977777778,0.83,11.0446,259,15.8263,0,1016.51,Partly cloudy throughout the day.
2006-04-01 05:00:00.000 +0200,Partly Cloudy,rain,9.222222222,7.111111111,0.85,13.9587,258,14.9569,0,1016.66,Partly cloudy throughout the day.
2006-04-01 06:00:00.000 +0200,Partly Cloudy,rain,7.733333333,5.522222222,0.95,12.3648,259,9.982,0,1016.72,Partly cloudy throughout the day.
2006-04-01 07:00:00.000 +0200,Partly Cloudy,rain,8.772222222,6.527777778,0.89,14.1519,260,9.982,0,1016.84,Partly cloudy throughout the day.
2006-04-01 08:00:00.000 +0200,Partly Cloudy,rain,10.82222222,10.82222222,0.82,11.3183,259,9.982,0,1017.37,Partly cloudy throughout the day.
2006-04-01 09:00:00.000 +0200,Partly Cloudy,rain,13.77222222,13.77222222,0.72,12.5258,279,9.982,0,1017.22,Partly cloudy throughout the day.
2006-04-01 10:00:00.000 +0200,Partly Cloudy,rain,16.01666667,16.01666667,0.67,17.5651,290,11.2056,0,1017.42,Partly cloudy throughout the day.
2006-04-01 11:00:00.000 +0200,Partly Cloudy,rain,17.14444444,17.14444444,0.54,19.7869,316,11.4471,0,1017.74,Partly cloudy throughout the day.
2006-04-01 12:00:00.000 +0200,Partly Cloudy,rain,17.8,17.8,0.55,21.9443,281,11.27,0,1017.59,Partly cloudy throughout the day.
2006-04-01 13:00:00.000 +0200,Partly Cloudy,rain,17.33333333,17.33333333,0.51,20.6885,289,11.27,0,1017.48,Partly cloudy throughout the day.
2006-04-01 14:00:00.000 +0200,Partly Cloudy,rain,18.87777778,18.87777778,0.47,15.3755,262,11.4471,0,1017.17,Partly cloudy throughout the day.
2006-04-01 15:00:00.000 +0200,Partly Cloudy,rain,18.91111111,18.91111111,0.46,10.4006,288,11.27,0,1016.47,Partly cloudy throughout the day.
2006-04-01 16:00:00.000 +0200,Partly Cloudy,rain,15.38888889,15.38888889,0.6,14.4095,251,11.27,0,1016.15,Partly cloudy throughout the day.
2006-04-01 17:00:00.000 +0200,Mostly Cloudy,rain,15.55,15.55,0.63,11.1573,230,11.4471,0,1016.17,Partly cloudy throughout the day.
2006-04-01 18:00:00.000 +0200,Mostly Cloudy,rain,14.25555556,14.25555556,0.69,8.5169,163,11.2056,0,1015.82,Partly cloudy throughout the day.
2006-04-01 19:00:00.000 +0200,Mostly Cloudy,rain,13.14444444,13.14444444,0.7,7.6314,139,11.2056,0,1015.83,Partly cloudy throughout the day.
2006-04-01 20:00:00.000 +0200,Mostly Cloudy,rain,11.55,11.55,0.77,7.3899,147,11.0285,0,1015.85,Partly cloudy throughout the day.
2006-04-01 21:00:00.000 +0200,Mostly Cloudy,rain,11.18333333,11.18333333,0.76,4.9266,160,9.982,0,1015.77,Partly cloudy throughout the day.
2006-04-01 22:00:00.000 +0200,Partly Cloudy,rain,10.11666667,10.11666667,0.79,6.6493,163,15.8263,0,1015.4,Partly cloudy throughout the day.
2006-04-01 23:00:00.000 +0200,Mostly Cloudy,rain,10.2,10.2,0.77,3.9284,152,14.9569,0,1015.51,Partly cloudy throughout the day.
2006-04-10 00:00:00.000 +0200,Partly Cloudy,rain,10.42222222,10.42222222,0.62,16.9855,150,15.8263,0,1014.4,Mostly cloudy throughout the day.
2006-12-13 02:00:00.000 +0100,Foggy,snow,-0.483333333,-4.15,1,11.0929,219,0.483,0,1031.56,Foggy throughout the day.
2006-12-13 03:00:00.000 +0100,Foggy,snow,-0.483333333,-4.061111111,0.96,10.7387,200,0.322,0,1031.47,Foggy throughout the day.
2006-12-13 04:00:00.000 +0100,Foggy,snow,-0.922222222,-3.477777778,1,7.0679,206,0.161,0,1031.23,Foggy throughout the day.
2006-12-13 05:00:00.000 +0100,Foggy,snow,-1.038888889,-4.4,1,9.499,199,0.161,0,1031.41,Foggy throughout the day.
2006-12-13 06:00:00.000 +0100,Foggy,snow,-1.088888889,-4.438888889,1,9.4346,219,0.322,0,1031.98,Foggy throughout the day.
2006-12-13 07:00:00.000 +0100,Foggy,snow,-0.994444444,-4.405555556,1,9.7083,191,0.161,0,1032.22,Foggy throughout the day.
2006-12-13 08:00:00.000 +0100,Foggy,snow,-1.088888889,-4.838888889,0.93,10.9319,180,0.322,0,1032.88,Foggy throughout the day.
2006-12-13 09:00:00.000 +0100,Foggy,snow,-1.088888889,-4.411111111,1,9.3541,209,0.322,0,1033.29,Foggy throughout the day.
2006-12-13 10:00:00.000 +0100,Foggy,snow,-1.077777778,-4.411111111,1,9.4024,219,0.3059,0,1033.92,Foggy throughout the day.
2006-12-13 11:00:00.000 +0100,Foggy,snow,-1.061111111,-4.888888889,1,11.27,180,0.161,0,1034.08,Foggy throughout the day.
2006-12-13 21:00:00.000 +0100,Foggy,snow,0,-4.255555556,0.96,14.2646,210,0.322,0,1035.71,Foggy throughout the day.
2006-12-13 23:00:00.000 +0100,Foggy,snow,-0.022222222,-3.561111111,1,10.9319,219,0.322,0,1036.18,Foggy throughout the day.
2006-12-14 00:00:00.000 +0100,Foggy,snow,-0.072222222,-3.638888889,1,11.0285,229,0.322,0,1036.29,Foggy throughout the day.
2006-12-14 01:00:00.000 +0100,Foggy,snow,-0.894444444,-2.761111111,0.97,5.3613,228,0.161,0,1036.63,Foggy throughout the day.
2006-12-14 04:00:00.000 +0100,Foggy,snow,-0.094444444,-4.288888889,0.97,13.846,208,0.3059,0,1036.19,Foggy throughout the day.
2006-12-14 05:00:00.000 +0100,Foggy,snow,-0.138888889,-4.722222222,1,15.8424,199,0.6279,0,1036.19,Foggy throughout the day.
2006-12-14 06:00:00.000 +0100,Foggy,snow,-1.111111111,-5.888888889,1,15.6331,219,0.483,0,1036.11,Foggy throughout the day.
2006-12-14 07:00:00.000 +0100,Foggy,snow,-1.033333333,-5.927777778,1,16.3898,201,0.3059,0,1036.66,Foggy throughout the day.
2006-12-14 08:00:00.000 +0100,Foggy,snow,-1.111111111,-5.594444444,1,14.1358,190,0.7889,0,1036.9,Foggy throughout the day.
2006-12-14 09:00:00.000 +0100,Foggy,snow,-1.111111111,-5.244444444,1,12.5258,199,0.6279,0,1037.1,Foggy throughout the day.
2006-12-14 10:00:00.000 +0100,Foggy,snow,-0.161111111,-4.144444444,0.94,12.7512,189,0.7084,0,1037.5,Foggy throughout the day.
2006-12-14 11:00:00.000 +0100,Foggy,snow,-0.022222222,-4.261111111,1,14.1358,190,1.8837,0,1037.68,Foggy throughout the day.
2006-12-14 12:00:00.000 +0100,Foggy,snow,-0.022222222,-3.583333333,1,11.0285,189,2.9785,0,1037.09,Foggy throughout the day.
2006-12-14 18:00:00.000 +0100,Foggy,snow,0,-3.533333333,0.93,10.9319,189,0.4025,0,1036.31,Foggy throughout the day.
2006-12-14 19:00:00.000 +0100,Foggy,snow,-0.838888889,-4.627777778,1,11.27,163,0.2415,0,1036.54,Foggy throughout the day.
2012-04-11 16:00:00.000 +0200,Mostly Cloudy,null,19.01666667,19.01666667,0.26,14.8764,163,9.982,0,1002.4,Mostly cloudy until night.
2012-04-11 18:00:00.000 +0200,Mostly Cloudy,null,17.85,17.85,0.28,13.7977,169,9.982,0,1001.79,Mostly cloudy until night.
2012-04-11 19:00:00.000 +0200,Mostly Cloudy,null,16.32222222,16.32222222,0.32,10.8192,151,9.982,0,1001.6,Mostly cloudy until night.
2012-04-11 21:00:00.000 +0200,Mostly Cloudy,null,12.56666667,12.56666667,0.43,9.016,159,9.982,0,1001.92,Mostly cloudy until night.
2012-04-11 22:00:00.000 +0200,Mostly Cloudy,null,12.92777778,12.92777778,0.47,17.6295,197,16.1,0,1002.2,Mostly cloudy until night.
2012-04-12 00:00:00.000 +0200,Mostly Cloudy,null,10.1,10.1,0.61,11.3666,180,16.1,0,1002.25,Light rain in the morning.
2012-04-12 01:00:00.000 +0200,Partly Cloudy,null,10.18333333,10.18333333,0.64,7.2128,150,16.1,0,1002.05,Light rain in the morning.
2012-04-12 03:00:00.000 +0200,Mostly Cloudy,null,10.7,10.7,0.7,14.6993,133,16.1,0,1001.42,Light rain in the morning.
2012-04-12 04:00:00.000 +0200,Partly Cloudy,null,9.744444444,8.022222222,0.73,11.9623,142,16.1,0,1001.11,Light rain in the morning.
2012-04-12 07:00:00.000 +0200,Mostly Cloudy,null,10.05555556,10.05555556,0.76,13.9748,213,11.109,0,1001.22,Light rain in the morning.
2012-04-12 12:00:00.000 +0200,Partly Cloudy,null,17.17777778,17.17777778,0.42,25.3414,221,11.1573,0,1002.61,Light rain in the morning.
2012-04-12 13:00:00.000 +0200,Partly Cloudy,null,16.18333333,16.18333333,0.41,28.2877,221,11.109,0,1002.67,Light rain in the morning.
2012-04-12 15:00:00.000 +0200,Partly Cloudy,null,16.18333333,16.18333333,0.47,24.2466,238,11.1573,0,1002.65,Light rain in the morning.
2012-04-12 16:00:00.000 +0200,Partly Cloudy,null,16.24444444,16.24444444,0.43,29.8816,258,11.1573,0,1002.91,Light rain in the morning.
2012-04-12 18:00:00.000 +0200,Partly Cloudy,null,15.18333333,15.18333333,0.5,26.8548,287,11.1573,0,1003.79,Light rain in the morning.
2012-04-12 19:00:00.000 +0200,Partly Cloudy,null,12.45555556,12.45555556,0.52,17.6134,286,11.1573,0,1004.83,Light rain in the morning.
2012-04-12 21:00:00.000 +0200,Partly Cloudy,null,7.983333333,7.983333333,0.7,1.7388,305,11.592,0,1006.85,Light rain in the morning.
2012-04-12 22:00:00.000 +0200,Partly Cloudy,null,6.905555556,6.905555556,0.77,2.1091,112,16.1,0,1006.81,Light rain in the morning.
2012-04-13 00:00:00.000 +0200,Partly Cloudy,null,5.283333333,5.283333333,0.86,3.7996,131,16.1,0,1006.68,Mostly cloudy throughout the day.
2012-04-13 01:00:00.000 +0200,Partly Cloudy,null,4.688888889,3.133333333,0.83,6.7781,162,16.1,0,1007.08,Mostly cloudy throughout the day.
2012-04-13 03:00:00.000 +0200,Partly Cloudy,null,4.533333333,2.944444444,0.86,6.7942,138,16.1,0,1007,Mostly cloudy throughout the day.
2012-04-13 04:00:00.000 +0200,Partly Cloudy,null,3.466666667,3.466666667,0.9,4.2343,131,16.1,0,1006.8,Mostly cloudy throughout the day.
2012-04-13 06:00:00.000 +0200,Partly Cloudy,null,2.455555556,1.1,0.93,5.2647,145,11.27,0,1006.38,Mostly cloudy throughout the day.
2012-04-13 10:00:00.000 +0200,Mostly Cloudy,null,15.04444444,15.04444444,0.52,11.0607,167,9.982,0,1006.08,Mostly cloudy throughout the day.
2012-04-13 12:00:00.000 +0200,Mostly Cloudy,null,17.85,17.85,0.42,11.6886,130,9.982,0,1004.89,Mostly cloudy throughout the day.
